Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS1,Chrome 120.0.0.0,,,2024-01-22 18:16:38,2024-01-22 18:32:15,15m - 37.197s,FAILED
,,,,,,,
Test Cases/Stockbit/GetBrokSumPriceDaily,Chrome 120.0.0.0,,,2024-01-22 18:16:38,2024-01-22 18:32:15,15m - 36.893s,FAILED
strTop1 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:16:39,2024-01-22 18:16:39,0.010s,PASSED
strTop2 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:16:39,2024-01-22 18:16:39,0.001s,PASSED
strTop3 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:16:39,2024-01-22 18:16:39,0.002s,PASSED
strAllBrokAvg = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:16:39,2024-01-22 18:16:39,0.002s,PASSED
strAccDist = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:16:39,2024-01-22 18:16:39,0.006s,PASSED
strNetVal = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:16:39,2024-01-22 18:16:39,0.002s,PASSED
strNetVol = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:16:39,2024-01-22 18:16:39,0.001s,PASSED
strTanggal = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:16:39,2024-01-22 18:16:39,0.001s,PASSED
strBuyer1 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:16:39,2024-01-22 18:16:39,0.002s,PASSED
strBuyerVol1 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:16:39,2024-01-22 18:16:39,0.001s,PASSED
strBuyerAvg1 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:16:39,2024-01-22 18:16:39,0.002s,PASSED
strSeller1 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:16:39,2024-01-22 18:16:39,0.001s,PASSED
strSellerVol1 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:16:39,2024-01-22 18:16:39,0.003s,PASSED
strSellerAvg1 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:16:39,2024-01-22 18:16:39,0.002s,PASSED
strBuyer2 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:16:39,2024-01-22 18:16:39,0.003s,PASSED
strBuyerVol2 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:16:39,2024-01-22 18:16:39,0.001s,PASSED
strBuyerAvg2 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:16:39,2024-01-22 18:16:39,0.001s,PASSED
strSeller2 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:16:39,2024-01-22 18:16:39,0.001s,PASSED
strSellerVol2 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:16:39,2024-01-22 18:16:39,0.002s,PASSED
strSellerAvg2 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:16:39,2024-01-22 18:16:39,0.001s,PASSED
strBuyer3 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:16:39,2024-01-22 18:16:39,0.002s,PASSED
strBuyerVol3 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:16:39,2024-01-22 18:16:39,0.001s,PASSED
strBuyerAvg3 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:16:39,2024-01-22 18:16:39,0.001s,PASSED
strSeller3 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:16:39,2024-01-22 18:16:39,0.000s,PASSED
strSellerVol3 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:16:39,2024-01-22 18:16:39,0.000s,PASSED
strSellerAvg3 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:16:39,2024-01-22 18:16:39,0.000s,PASSED
strOpenPrice = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:16:39,2024-01-22 18:16:39,0.006s,PASSED
strLowPrice = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:16:39,2024-01-22 18:16:39,0.001s,PASSED
strHighPrice = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:16:39,2024-01-22 18:16:39,0.001s,PASSED
strClosePrice = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:16:39,2024-01-22 18:16:39,0.001s,PASSED
strVol = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:16:39,2024-01-22 18:16:39,0.002s,PASSED
strChange = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:16:39,2024-01-22 18:16:39,0.001s,PASSED
strFreq = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:16:39,2024-01-22 18:16:39,0.002s,PASSED
strFreqAnal = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:16:39,2024-01-22 18:16:39,0.001s,PASSED
intAvgRP = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 18:16:39,2024-01-22 18:16:39,0.001s,PASSED
